45.88,
0.02,
0.002,
7.7,
0.5,
1.41,
8.6,
0.11,
0.39,
2.86,
0.014,
0.08,
0.078,
0.29,
7.71,
3.48,
0.6,
0.58 ,
0.57,
0.01,
0.25,
0.48,
0.006,
0.009,
0.01,
8.34,
0.087,
0.14,
0.089,
0.75,
0.11,
0.002,
0.46,
4.34,
12.79,
17.5,
0.004,
3.98 ,
0.12,
0.02,
0.012,
2.15,
0.25 ,
0.77,
0.02,
1.18,
0.09,
5.53
